,S. No.,Game,Platform,Hours,earnings,whyplay,Gender,Age,Work,Degree,Residence,Playstyle,GAD_T,SWL_T,SPIN_T
12760,13514,League of Legends,PC,30.0,I play for fun,having fun,Male,25,Student at college / university,Ph.D.  Psy. D.  MD (or equivalent),Unknown,Multiplayer - online - with strangers,0,35,0.0
12761,13515,League of Legends,PC,15.0,I play for fun,improving,Male,18,Unemployed / between jobs,,Australia,Multiplayer - online - with strangers,11,7,37.0
12762,13516,League of Legends,PC,12.0,I play for fun,having fun,Male,20,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,13,8,58.0
12763,13517,League of Legends,PC,8.0,I play for fun,improving,Female,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,6,19,37.0
12764,13519,League of Legends,PC,40.0,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,4,27,7.0
12765,13520,League of Legends,PC,14.0,I play for fun,relaxing,Male,27,Employed,Bachelor or equivalent,Sweden,Multiplayer - online - with strangers,3,21,2.0
12766,13521,League of Legends,PC,12.0,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,1,26,
12767,13522,League of Legends,PC,40.0,I play for fun,winning,Female,18,Student at school,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,18,11,27.0
12768,13523,League of Legends,PC,60.0,I play for fun,winning,Male,24,Unemployed / between jobs,High school diploma (or equivalent),Canada,Multiplayer - online - with real life friends,10,5,38.0
12769,13524,League of Legends,PC,20.0,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,2,30,11.0
12770,13525,League of Legends,PC,40.0,I play for fun,having fun,Male,20,Unemployed / between jobs,Bachelor or equivalent,UK,Multiplayer - online - with online acquaintances or teammates,0,5,16.0
12771,13526,League of Legends,PC,20.0,I play for fun,improving,Male,18,Student at school,,USA,Multiplayer - online - with real life friends,10,12,11.0
12772,13527,League of Legends,PC,10.0,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),Canada,Multiplayer - online - with real life friends,0,17,5.0
12773,13528,League of Legends,PC,25.0,I play for fun,having fun,Male,19,Unemployed / between jobs,,UK,Mixture of real life friends and online acquiantances/team mates,16,12,31.0
12774,13529,League of Legends,PC,20.0,I play for fun,winning,Male,23,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,2,34,10.0
12775,13531,League of Legends,PC,23.0,I play for fun,having fun,Male,19,Employed,High school diploma (or equivalent),Australia,Multiplayer - online - with online acquaintances or teammates,12,17,25.0
12776,13532,League of Legends,PC,35.0,I play for fun,having fun,Male,21,Student at college / university,Bachelor or equivalent,Canada,Multiplayer - online - with strangers,0,30,8.0
12777,13533,League of Legends,PC,14.0,I play for fun,having fun,Male,26,Employed,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,7,17,2.0
12778,13534,League of Legends,PC,20.0,I play for fun,having fun,Male,21,Student at college / university,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,10,15,18.0
12779,13535,League of Legends,PC,0.0,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Pakistan,Multiplayer - online - with strangers,0,16,9.0
12780,13536,League of Legends,PC,10.0,I play for fun,improving,Male,18,Student at school,,USA,Multiplayer - online - with strangers,2,29,23.0
12781,13537,League of Legends,PC,15.0,I play for fun,improving,Male,22,Employed,Bachelor or equivalent,South Africa,Multiplayer - online - with real life friends,9,21,12.0
12782,13538,League of Legends,PC,15.0,I play for fun,having fun,Male,24,Unemployed / between jobs,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,0,32,7.0
12783,13539,League of Legends,PC,,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,8,14,23.0
12784,13540,League of Legends,PC,30.0,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Canada,Multiplayer - online - with strangers,7,18,4.0
12785,13541,League of Legends,PC,14.0,I play for fun,having fun,Male,24,Employed,Bachelor or equivalent,USA,Singleplayer,7,29,26.0
12786,13542,League of Legends,PC,38.0,I play for fun,improving,Male,18,Student at school,,South Africa,Multiplayer - online - with real life friends,3,30,37.0
12787,13543,League of Legends,PC,30.0,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),UK,Multiplayer - online - with real life friends,12,22,35.0
12788,13544,League of Legends,PC,21.0,I play for fun,relaxing,Male,18,Student at college / university,High school diploma (or equivalent),Canada,Multiplayer - online - with real life friends,3,17,38.0
12789,13545,League of Legends,PC,10.0,I play for fun,having fun,Female,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,4,22,29.0
12790,13546,League of Legends,PC,15.0,I play for fun,having fun,Female,22,Employed,Bachelor or equivalent,Canada,Multiplayer - online - with real life friends,5,11,32.0
12791,13547,League of Legends,PC,36.0,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,7,17,
12792,13548,League of Legends,PC,5.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,2,25,7.0
12793,13549,League of Legends,PC,20.0,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,4,30,7.0
12794,13550,League of Legends,PC,35.0,I play for fun,winning,Male,20,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,1,18,15.0
12795,13551,League of Legends,PC,40.0,I play for fun,improving,Male,18,Student at school,,USA,Multiplayer - online - with online acquaintances or teammates,0,24,17.0
12796,13552,League of Legends,PC,10.0,I play for fun,having fun,Male,22,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,5,15,
12797,13553,League of Legends,PC,12.0,I play for fun,having fun,Female,18,Student at school,High school diploma (or equivalent),Canada,Multiplayer - online - with real life friends,0,34,10.0
12798,13554,League of Legends,PC,7.0,I play for fun,relaxing,Male,24,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,6,17,24.0
12799,13555,League of Legends,PC,30.0,I play for fun,improving,Female,23,Unemployed / between jobs,High school diploma (or equivalent),Canada,Multiplayer - online - with online acquaintances or teammates,0,21,26.0
12800,13556,League of Legends,PC,14.0,I play for fun,having fun,Female,21,Student at college / university,,USA,Multiplayer - online - with online acquaintances or teammates,14,12,52.0
12801,13557,League of Legends,PC,20.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),Canada,with strangers and with my friends,2,12,22.0
12802,13558,League of Legends,PC,20.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,3,27,21.0
12803,13559,Other,PC,12.0,have nothing better to do,improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,10,10,54.0
12804,13560,Other,PC,50.0,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Australia,Multiplayer - online - with online acquaintances or teammates,3,8,36.0
12805,13561,League of Legends,PC,25.0,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,3,29,23.0
12806,13562,League of Legends,PC,20.0,I play for fun,improving,Male,24,Employed,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,2,17,1.0
12807,13563,Starcraft 2,PC,20.0,I play for fun,winning,Female,25,Employed,Bachelor or equivalent,USA,Multiplayer - online - with strangers,1,32,24.0
12808,13564,World of Warcraft,PC,30.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,2,12,
12809,13565,League of Legends,PC,5.0,I play for fun,having fun,Male,24,Student at college / university,Bachelor or equivalent,Romania,Multiplayer - online - with strangers,6,20,12.0
12810,13566,League of Legends,PC,20.0,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,13,10,14.0
12811,13567,League of Legends,PC,40.0,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),Sweden,Multiplayer - online - with online acquaintances or teammates,6,9,9.0
12812,13568,Other,PC,10.0,I earn a living by playing this game,winning,Male,22,Employed,Bachelor or equivalent,Germany,Multiplayer - online - with real life friends,10,10,28.0
12813,13569,League of Legends,PC,20.0,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,11,22,25.0
12814,13570,League of Legends,PC,12.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,1,16,18.0
12815,13571,League of Legends,PC,6.0,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Australia,Multiplayer - online - with real life friends,4,29,6.0
12816,13573,League of Legends,PC,10.0,I play for fun,having fun,Male,21,Employed,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,3,27,8.0
12817,13574,League of Legends,PC,12.0,I play for fun,having fun,Male,21,Student at college / university,Bachelor or equivalent,Canada,Multiplayer - online - with real life friends,4,26,10.0
12818,13575,Other,PC,12.0,I play for fun,having fun,Male,22,Employed,Bachelor or equivalent,Australia,Singleplayer,1,31,13.0
12819,13576,League of Legends,PC,25.0,I play for fun,relaxing,Male,21,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,0,16,26.0
12820,13577,League of Legends,PC,14.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,1,24,6.0
12821,13578,League of Legends,PC,16.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,9,21,22.0
12822,13579,League of Legends,PC,20.0,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,2,33,8.0
12823,13580,League of Legends,PC,50.0,Rank 1 Challenger the dream,having fun,Male,23,Student at college / university,Bachelor or equivalent,USA,Yolo queue,4,25,20.0
12824,13581,League of Legends,PC,40.0,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Australia,Multiplayer - online - with online acquaintances or teammates,11,27,37.0
12825,13582,League of Legends,PC,20.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,4,16,15.0
12826,13583,League of Legends,PC,25.0,I play for fun,relaxing,Male,21,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,15,21,27.0
12827,13584,League of Legends,PC,30.0,I play for fun,improving,Male,24,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,3,27,33.0
12828,13585,League of Legends,PC,14.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Canada,Multiplayer - online - with real life friends,18,10,34.0
12829,13586,League of Legends,PC,15.0,I play for fun,having fun,Male,25,Employed,High school diploma (or equivalent),USA,Singleplayer,14,7,4.0
12830,13587,League of Legends,PC,30.0,Fun  but trying to beat everyone,Ranked = winning Normals = Fun,Male,19,Unemployed / between jobs,,Ireland,Multiplayer - online - with online acquaintances or teammates,5,10,27.0
12831,13588,League of Legends,PC,30.0,I play for fun,winning,Male,21,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,6,12,10.0
12832,13589,League of Legends,PC,15.0,I play for fun,improving,Male,21,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,3,21,6.0
12833,13590,League of Legends,PC,10.0,I earn a living by playing this game,having fun,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,0,12,9.0
12834,13591,League of Legends,PC,15.0,I play for fun,improving,Female,24,Employed,High school diploma (or equivalent),Australia,Multiplayer - online - with real life friends,4,21,
12835,13592,League of Legends,PC,14.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Female,21,Student at college / university,Bachelor or equivalent,USA,Multiplayer - online - with online acquaintances or teammates,1,28,12.0
12836,13593,League of Legends,PC,15.0,I play for fun,improving,Male,23,Student at college / university,High school diploma (or equivalent),Canada,Multiplayer - online - with strangers,5,14,14.0
12837,13594,League of Legends,PC,25.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,2,32,37.0
12838,13595,League of Legends,PC,28.0,I play for fun,improving,Male,20,Employed,High school diploma (or equivalent),Canada,Multiplayer - online - with real life friends,2,18,20.0
12839,13596,League of Legends,PC,8.0,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,4,18,13.0
12840,13597,League of Legends,PC,14.0,I play for fun,improving,Male,20,Unemployed / between jobs,,Estonia,Multiplayer - online - with real life friends,9,26,
12841,13598,League of Legends,PC,16.0,I play for fun,improving,Male,24,Employed,Bachelor or equivalent,Australia,Multiplayer - online - with real life friends,2,33,5.0
12842,13599,League of Legends,PC,20.0,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Australia,Multiplayer - online - with real life friends,8,19,20.0
12843,13600,League of Legends,PC,10.0,I play for fun,having fun,Female,21,Student at college / university,High school diploma (or equivalent),Canada,Multiplayer - online - with real life friends,5,19,17.0
12844,13601,Other,PC,7.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,12,24,18.0
12845,13602,League of Legends,PC,15.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Canada,Multiplayer - online - with real life friends,1,26,36.0
12846,13603,Other,PC,30.0,I play for fun,winning,Male,21,Employed,Bachelor or equivalent,USA,Multiplayer - online - with strangers,10,20,29.0
12847,13604,League of Legends,PC,18.0,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,1,19,28.0
12848,13605,Heroes of the Storm,PC,84.0,I play for fun,all of the above,Male,24,Unemployed / between jobs,High school diploma (or equivalent),UK,Multiplayer  online  with both acquaintances and real life friends,7,12,15.0
12849,13606,League of Legends,PC,10.0,I play for fun,having fun,Male,21,Employed,Bachelor or equivalent,Canada,Singleplayer,14,8,38.0
12850,13607,League of Legends,PC,12.0,I play for fun,having fun,Male,23,Employed,Bachelor or equivalent,Unknown,Multiplayer - online - with real life friends,0,28,2.0
12851,13608,League of Legends,PC,50.0,I play for fun,having fun,Male,20,Unemployed / between jobs,High school diploma (or equivalent),Germany,Multiplayer - online - with strangers,4,13,26.0
12852,13609,League of Legends,PC,4.0,I play for fun,winning,Male,20,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,0,17,17.0
12853,13610,League of Legends,PC,20.0,I play for fun,having fun,Male,23,Employed,Bachelor or equivalent,Philippines,Multiplayer - online - with strangers,0,22,24.0
12854,13611,League of Legends,PC,12.0,I play for fun,having fun,Male,21,Unemployed / between jobs,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,7,11,25.0
12855,13612,League of Legends,PC,20.0,I play for fun,improving,Male,31,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,7,10,17.0
12856,13613,League of Legends,PC,40.0,I play for fun,improving,Male,28,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,14,15,26.0
12857,13614,Counter Strike,PC,10.0,I play for fun,having fun,Male,18,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,0,28,
12858,13615,League of Legends,PC,20.0,I play for fun,winning,Male,28,Employed,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,1,32,9.0
12859,13616,League of Legends,PC,25.0,I play for fun,winning,Male,20,Student at college / university,High school diploma (or equivalent),Canada,Multiplayer - online - with online acquaintances or teammates,14,13,25.0
12860,13617,League of Legends,PC,48.0,I play for fun,winning,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,3,24,64.0
12861,13618,League of Legends,PC,21.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),India,Multiplayer - online - with strangers,16,15,31.0
12862,13619,League of Legends,PC,14.0,I play for fun,having fun,Male,26,Employed,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,2,12,11.0
12863,13620,League of Legends,PC,21.0,I play for fun,having fun,Female,20,Student at college / university,,USA,Multiplayer - online - with real life friends,5,20,12.0
12864,13621,League of Legends,PC,50.0,I play for fun,having fun,Male,21,Unemployed / between jobs,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,1,23,6.0
12865,13622,League of Legends,PC,8.0,I play for fun,having fun,Female,23,Student at college / university,High school diploma (or equivalent),Chile,Multiplayer - online - with online acquaintances or teammates,15,10,62.0
12866,13623,League of Legends,PC,20.0,I play for fun,having fun,Male,24,Student at school,High school diploma (or equivalent),Germany,Multiplayer - online - with strangers,13,5,17.0
12867,13624,League of Legends,PC,18.0,I play for fun,improving,Male,18,Student at school,,USA,Multiplayer - online - with real life friends,4,26,2.0
12868,13625,League of Legends,PC,30.0,I play for fun,winning,Male,18,Student at school,,USA,Multiplayer - online - with strangers,4,22,3.0
12869,13626,Counter Strike,PC,30.0,I play for fun,winning,Male,18,Student at school,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,4,26,27.0
12870,13627,League of Legends,PC,80.0,Its all I do.,winning,Male,18,Student at school,High school diploma (or equivalent),Finland,Multiplayer - online - with real life friends,3,14,
12871,13628,League of Legends,PC,10.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,10,30,20.0
12872,13629,League of Legends,PC,10.0,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),New Zealand ,Multiplayer - online - with real life friends,1,24,9.0
12873,13630,League of Legends,PC,15.0,I play for fun,improving,Male,21,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,4,25,18.0
12874,13631,League of Legends,PC,35.0,I play for fun,improving,Male,19,Unemployed / between jobs,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,1,11,16.0
12875,13632,League of Legends,PC,12.0,I play for fun,having fun,Male,22,Student at college / university,Bachelor or equivalent,Australia,Multiplayer - online - with real life friends,0,19,5.0
12876,13633,League of Legends,PC,13.0,I play for fun,winning,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,5,19,27.0
12877,13634,League of Legends,PC,60.0,I play for fun,winning,Male,19,Student at college / university,High school diploma (or equivalent),Greece,Multiplayer - online - with strangers,15,23,30.0
12878,13635,League of Legends,PC,25.0,I play for fun,having fun,Male,24,Employed,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,14,18,6.0
12879,13636,League of Legends,PC,25.0,I play for fun,winning,Male,18,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,9,17,30.0
12880,13637,League of Legends,PC,50.0,I play for fun,having fun,Male,23,Unemployed / between jobs,,Sweden,Multiplayer - online - with strangers,1,5,18.0
12881,13638,Other,Console (PS  Xbox  ...),13.0,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Canada,Multiplayer - online - with strangers,2,16,23.0
12882,13639,League of Legends,PC,7.0,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,2,23,10.0
12883,13641,League of Legends,PC,4.0,I play for fun,having fun,Male,21,Student at college / university,Bachelor or equivalent,USA,Multiplayer - online - with online acquaintances or teammates,3,29,26.0
12884,13642,League of Legends,PC,21.0,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Mexico,Multiplayer - Online - with real life friends and online acquaintances,8,28,13.0
12885,13643,League of Legends,PC,17.0,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Belgium,Multiplayer - online - with real life friends,6,28,21.0
12886,13644,League of Legends,PC,50.0,I play for fun,improving,Male,19,,,Finland,Multiplayer - online - with real life friends,21,14,34.0
12887,13645,League of Legends,PC,40.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),winning,Male,18,Student at college / university,High school diploma (or equivalent),USA,mix of the last 3,6,24,12.0
12888,13646,Other,PC,30.0,I play for fun,having fun,Male,18,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,7,19,52.0
12889,13647,League of Legends,PC,20.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),New Zealand ,Multiplayer - online - with real life friends,13,18,45.0
12890,13648,League of Legends,PC,25.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),having fun,Male,18,Student at school,,USA,Multiplayer - online - with online acquaintances or teammates,6,23,38.0
12891,13649,Other,PC,20.0,I play for fun,having fun,Male,22,Student at college / university,Bachelor or equivalent,USA,Multiplayer - online - with online acquaintances or teammates,2,30,8.0
12892,13650,League of Legends,PC,17.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,18,Student at college / university,High school diploma (or equivalent),Russia,Multiplayer - online - with strangers,5,14,26.0
12893,13651,League of Legends,PC,30.0,I play for fun,winning,Male,27,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,15,11,20.0
12894,13652,League of Legends,PC,21.0,I play for fun,improving,Male,23,Employed,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,2,23,5.0
12895,13653,League of Legends,PC,40.0,I play for fun,improving,Male,25,Unemployed / between jobs,Bachelor or equivalent,USA,Multiplayer - online - with strangers,9,35,41.0
12896,13654,League of Legends,PC,10.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,18,Student at school,,Poland,Multiplayer - online - with strangers,5,30,23.0
12897,13655,League of Legends,PC,18.0,I play for fun,improving,Male,18,Student at school,,Israel,Multiplayer - online - with strangers,6,20,7.0
12898,13657,League of Legends,PC,10.0,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,15,5,48.0
12899,13658,Other,PC,18.0,I play for fun,winning,Male,20,Student at college / university,High school diploma (or equivalent),Netherlands,Multiplayer - online - with online acquaintances or teammates,1,16,15.0
12900,13659,League of Legends,PC,10.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,22,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,3,23,24.0
12901,13661,League of Legends,PC,25.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,6,26,28.0
12902,13662,League of Legends,PC,10.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,9,10,21.0
12903,13664,League of Legends,PC,15.0,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),Germany,Multiplayer - online - with strangers,3,9,29.0
12904,13665,League of Legends,PC,20.0,I play for fun,improving,Male,18,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,8,18,7.0
12905,13666,League of Legends,PC,75.0,I play for fun,winning,Male,19,Student at college / university,High school diploma (or equivalent),USA,Singleplayer,0,27,27.0
12906,13667,League of Legends,PC,8.0,I play for fun,winning,Male,18,Student at college / university,High school diploma (or equivalent),Malaysia,Singleplayer,1,18,12.0
12907,13668,League of Legends,PC,40.0,I play for fun,improving,Female,24,Employed,Ph.D.  Psy. D.  MD (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,6,17,13.0
12908,13669,League of Legends,PC,30.0,I play for fun,winning,Male,20,Employed,High school diploma (or equivalent),Australia,Multiplayer - online - with real life friends,0,27,14.0
12909,13670,Other,Console (PS  Xbox  ...),20.0,I play for fun,having fun,Male,20,Unemployed / between jobs,,USA,Singleplayer,2,29,28.0
12910,13671,League of Legends,PC,18.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),Spain,Multiplayer - online - with real life friends,10,13,25.0
12911,13672,League of Legends,PC,20.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),having fun,Male,19,Student at college / university,High school diploma (or equivalent),Dominican Republic,Multiplayer - online - with real life friends,7,25,27.0
12912,13673,League of Legends,PC,10.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,24,Student at college / university,Bachelor or equivalent,USA,Multiplayer - online - with strangers,1,17,13.0
12913,13674,League of Legends,PC,3.0,I play for fun,having fun,Male,18,Student at school,,USA,Multiplayer - online - with strangers,4,13,27.0
12914,13675,League of Legends,PC,30.0,I play for fun,having fun,Male,18,Student at school,,USA,Multiplayer - online - with online acquaintances or teammates,6,25,35.0
12915,13677,Other,Console (PS  Xbox  ...),10.0,I play for fun,having fun,Male,26,Unemployed / between jobs,Bachelor or equivalent,USA,Multiplayer - online - with strangers,5,15,4.0
12916,13678,League of Legends,PC,40.0,I play for fun,winning,Male,21,Unemployed / between jobs,,UK,Multiplayer - online - with online acquaintances or teammates,20,6,61.0
12917,13679,League of Legends,PC,14.0,I play for fun,having fun,Male,20,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,14,28,19.0
12918,13680,League of Legends,PC,20.0,I play for fun,winning,Male,23,Student at college / university,Bachelor or equivalent,USA,Multiplayer - online - with strangers,5,25,13.0
12919,13681,League of Legends,PC,5.0,I play for fun,having fun,Male,24,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,2,19,8.0
12920,13682,League of Legends,PC,30.0,I play for fun,improving,Male,18,Unemployed / between jobs,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,10,6,38.0
12921,13683,League of Legends,PC,45.0,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Argentina,Multiplayer - online - with real life friends,12,16,33.0
12922,13684,League of Legends,PC,21.0,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,11,21,22.0
12923,13685,League of Legends,PC,8.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,5,11,13.0
12924,13686,League of Legends,PC,20.0,I play for fun,relaxing,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,13,18,16.0
12925,13687,League of Legends,PC,40.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,5,18,22.0
12926,13688,League of Legends,PC,36.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),winning,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,0,22,18.0
12927,13689,Counter Strike,PC,20.0,I play for fun,winning,Male,20,Unemployed / between jobs,High school diploma (or equivalent),Finland,Multiplayer - online - with real life friends,3,18,16.0
12928,13690,League of Legends,PC,14.0,I play for fun,Having fun and Improving (:,Male,19,Employed,High school diploma (or equivalent),New Zealand ,Multiplayer - online - with real life friends,6,15,32.0
12929,13691,League of Legends,PC,10.0,I play for fun,winning,Male,18,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,3,26,47.0
12930,13692,League of Legends,PC,25.0,I play for fun,winning,Male,20,Student at college / university,High school diploma (or equivalent),Serbia,Multiplayer - online - with real life friends,8,18,24.0
12931,13693,League of Legends,PC,8.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Belgium,Multiplayer - online - with online acquaintances or teammates,3,28,0.0
12932,13694,League of Legends,PC,28.0,I play for fun,winning,Male,20,Student at college / university,Bachelor or equivalent,Germany,Multiplayer - online - with real life friends,9,16,37.0
12933,13695,Other,PC,15.0,I play for fun,relaxing,Male,19,Employed,High school diploma (or equivalent),Germany,Singleplayer,12,15,15.0
12934,13696,League of Legends,PC,8.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,18,Student at school,High school diploma (or equivalent),Canada,Multiplayer - online - with real life friends,0,20,28.0
