,S. No.,Game,Platform,Hours,earnings,whyplay,Gender,Age,Work,Degree,Residence,Playstyle,GAD_T,SWL_T,SPIN_T
1407,1478,League of Legends,PC,40.0,I play for fun,having fun,Male,19,Student at college / university,,UK,Multiplayer - online - with real life friends,11,24,30.0
1408,1479,League of Legends,PC,5.0,I play for fun,winning,Male,20,Student at college / university,Bachelor or equivalent,Spain,Multiplayer - online - with strangers,3,19,29.0
1409,1480,League of Legends,PC,10.0,I play for fun,improving,Male,20,Student at college / university,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,3,31,17.0
1410,1481,League of Legends,PC,8.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,23,Student at college / university,Bachelor or equivalent,Argentina,Multiplayer - online - with real life friends,5,14,8.0
1411,1482,Other,PC,10.0,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Romania,Multiplayer - online - with strangers,1,24,9.0
1412,1483,League of Legends,PC,10.0,I play for fun,winning,Male,27,Employed,High school diploma (or equivalent),Portugal,Multiplayer - online - with strangers,5,23,35.0
1413,1484,League of Legends,PC,30.0,I play for fun,having fun,Male,24,Employed,High school diploma (or equivalent),Germany,Multiplayer - online - with online acquaintances or teammates,5,9,15.0
1414,1485,League of Legends,PC,40.0,I play for fun,winning,Male,25,Student at college / university,Master or equivalent,USA,Multiplayer - online - with strangers,18,17,11.0
1415,1486,Starcraft 2,PC,8.0,I play for fun,improving,Male,25,Student at college / university,Master or equivalent,Belgium,Multiplayer - online - with strangers,1,25,10.0
1416,1487,League of Legends,PC,20.0,I play for fun,relaxing,Male,22,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,11,14,32.0
1417,1488,League of Legends,PC,,I play for fun,having fun,Male,18,Student at school,,Poland,Multiplayer - online - with strangers,3,24,20.0
1418,1489,World of Warcraft,PC,15.0,I play for fun,improving,Male,22,Student at college / university,High school diploma (or equivalent),Czech Republic,Singleplayer,2,13,24.0
1419,1490,League of Legends,PC,20.0,I play for fun,having fun,Male,24,Student at college / university,Master or equivalent,Belgium,Multiplayer - online - with real life friends,7,17,14.0
1420,1491,League of Legends,PC,20.0,I play for fun,improving,Male,32,Employed,High school diploma (or equivalent),USA,multiplayer online with friends and strangers,4,18,15.0
1421,1492,League of Legends,PC,7.0,I play for fun,winning,Male,22,Employed,High school diploma (or equivalent),UK,Multiplayer - online - with strangers,9,11,49.0
1422,1493,League of Legends,PC,40.0,I play for fun,improving,Male,21,Unemployed / between jobs,High school diploma (or equivalent),Germany,Multiplayer - online - with strangers,11,10,36.0
1423,1494,League of Legends,PC,40.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,20,Student at college / university,Bachelor or equivalent,UK,Multiplayer - online - with online acquaintances or teammates,13,22,7.0
1424,1495,Hearthstone,PC,20.0,I play for fun,having fun,Male,26,Student at college / university,Master or equivalent,Denmark,Multiplayer - online - with strangers,9,19,13.0
1425,1496,League of Legends,PC,15.0, play for fun at the moment  but I am practicing to become a pro,improving,Male,20,Student at college / university,High school diploma (or equivalent),Iceland,Multiplayer - online - with real life friends,6,25,9.0
1426,1497,League of Legends,PC,6.0,I play for fun,having fun,Male,22,Student at college / university,High school diploma (or equivalent),Netherlands,Multiplayer - online - with real life friends,2,22,7.0
1427,1498,League of Legends,PC,20.0,I play for fun,relaxing,Female,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,13,13,32.0
1428,1499,Other,PC,21.0,I play for fun,relaxing,Male,23,Student at college / university,High school diploma (or equivalent),Germany,Singleplayer,6,10,2.0
1429,1500,Other,PC,10.0,I play for fun,having fun,Male,24,Student at college / university,High school diploma (or equivalent),Austria,Multiplayer - online - with strangers,2,31,12.0
1430,1501,League of Legends,PC,20.0,I play for fun,improving,Male,22,Employed,High school diploma (or equivalent),Finland,Multiplayer - online - with real life friends,8,10,20.0
1431,1502,Other,PC,45.0,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Sweden,Multiplayer - online - with real life friends,0,27,18.0
1432,1503,League of Legends,PC,22.0,I play for fun,having fun,Male,27,Unemployed / between jobs,Master or equivalent,Portugal,Multiplayer - online - with real life friends,1,14,33.0
1433,1504,League of Legends,PC,20.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,26,Employed,Bachelor or equivalent,USA,Multiplayer - online - with online acquaintances or teammates,5,19,12.0
1434,1505,League of Legends,PC,25.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,19,Student at school,,Germany,Multiplayer - online - with online acquaintances or teammates,4,16,
1435,1506,League of Legends,PC,15.0,I play for fun,winning,Male,19,Student at school,High school diploma (or equivalent),Canada,Multiplayer - online - with real life friends,0,21,22.0
1436,1507,Other,PC,30.0,I play for fun,improving,Male,24,Student at school,Bachelor or equivalent,USA,Singleplayer,5,13,56.0
1437,1508,League of Legends,PC,12.0,I play for fun,improving,Male,19,Student at college / university,Bachelor or equivalent,Canada,Multiplayer - online - with real life friends,0,24,4.0
1438,1509,League of Legends,PC,20.0,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Sweden,Multiplayer - online - with strangers,4,8,30.0
1439,1510,League of Legends,PC,15.0,I play for fun,improving,Male,20,Student at college / university,Bachelor or equivalent,USA,Multiplayer - online - with online acquaintances or teammates,3,26,
1440,1511,League of Legends,PC,20.0,I play for fun,improving,Male,22,Employed,High school diploma (or equivalent),UK,Multiplayer - online - with real life friends,16,9,34.0
1441,1512,League of Legends,PC,10.0,I play for fun,improving,Male,20,Employed,Bachelor or equivalent,Brazil,Multiplayer - online - with online acquaintances or teammates,14,6,60.0
1442,1513,Other,PC,24.0,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Australia,Multiplayer - online - with online acquaintances or teammates,2,18,17.0
1443,1514,League of Legends,PC,21.0,I play for fun,having fun,Male,28,Student at college / university,Master or equivalent,France,Multiplayer - online - with strangers,6,9,19.0
1444,1515,League of Legends,PC,10.0,I play for fun,relaxing,Male,18,Student at school,,USA,Multiplayer - online - with strangers,6,21,39.0
1445,1516,League of Legends,PC,60.0,I play for fun,winning,Male,18,,,UK,Multiplayer - online - with strangers,0,19,
1446,1517,League of Legends,PC,20.0,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,2,26,24.0
1447,1518,League of Legends,PC,10.0,I play for fun,having fun,Male,24,Unemployed / between jobs,High school diploma (or equivalent),UK,Multiplayer - online - with online acquaintances or teammates,6,5,32.0
